open_time,VXTH,BTC_TSMOM30_LS
2021-07-15 00:00:00+00:00,0.9029102598502387,0.09708974014976146
2021-07-16 00:00:00+00:00,0.9180051430767623,0.08199485692323771
2021-07-19 00:00:00+00:00,0.9180051430767623,0.08199485692323771
2021-07-20 00:00:00+00:00,0.9180051430767623,0.08199485692323771
2021-07-21 00:00:00+00:00,0.9180051430767623,0.08199485692323771
2021-07-22 00:00:00+00:00,0.9180051430767623,0.08199485692323771
2021-07-23 00:00:00+00:00,0.9180051430767623,0.08199485692323771
2021-07-26 00:00:00+00:00,0.9180051430767623,0.08199485692323771
2021-07-27 00:00:00+00:00,0.9180051430767623,0.08199485692323771
2021-07-28 00:00:00+00:00,0.9180051430767623,0.08199485692323771
2021-07-29 00:00:00+00:00,0.9180051430767623,0.08199485692323771
2021-07-30 00:00:00+00:00,0.9180051430767623,0.08199485692323771
2021-08-02 00:00:00+00:00,0.9180051430767623,0.08199485692323771
2021-08-03 00:00:00+00:00,0.9180051430767623,0.08199485692323771
2021-08-04 00:00:00+00:00,0.9180051430767623,0.08199485692323771
2021-08-05 00:00:00+00:00,0.9180051430767623,0.08199485692323771
2021-08-06 00:00:00+00:00,0.9180051430767623,0.08199485692323771
2021-08-09 00:00:00+00:00,0.9180051430767623,0.08199485692323771
2021-08-10 00:00:00+00:00,0.9180051430767623,0.08199485692323771
2021-08-11 00:00:00+00:00,0.9180051430767623,0.08199485692323771
2021-08-12 00:00:00+00:00,0.9180051430767623,0.08199485692323771
2021-08-13 00:00:00+00:00,0.9180051430767623,0.08199485692323771
2021-08-16 00:00:00+00:00,0.9150045187198853,0.08499548128011479
2021-08-17 00:00:00+00:00,0.9150045187198853,0.08499548128011479
2021-08-18 00:00:00+00:00,0.9150045187198853,0.08499548128011479
2021-08-19 00:00:00+00:00,0.9150045187198853,0.08499548128011479
2021-08-20 00:00:00+00:00,0.9150045187198853,0.08499548128011479
2021-08-23 00:00:00+00:00,0.9150045187198853,0.08499548128011479
2021-08-24 00:00:00+00:00,0.9150045187198853,0.08499548128011479
2021-08-25 00:00:00+00:00,0.9150045187198853,0.08499548128011479
2021-08-26 00:00:00+00:00,0.9150045187198853,0.08499548128011479
2021-08-27 00:00:00+00:00,0.9150045187198853,0.08499548128011479
2021-08-30 00:00:00+00:00,0.9150045187198853,0.08499548128011479
2021-08-31 00:00:00+00:00,0.9150045187198853,0.08499548128011479
2021-09-01 00:00:00+00:00,0.9150045187198853,0.08499548128011479
2021-09-02 00:00:00+00:00,0.9150045187198853,0.08499548128011479
2021-09-03 00:00:00+00:00,0.9150045187198853,0.08499548128011479
2021-09-07 00:00:00+00:00,0.9150045187198853,0.08499548128011479
2021-09-08 00:00:00+00:00,0.9150045187198853,0.08499548128011479
2021-09-09 00:00:00+00:00,0.9150045187198853,0.08499548128011479
2021-09-10 00:00:00+00:00,0.9150045187198853,0.08499548128011479
2021-09-13 00:00:00+00:00,0.9150045187198853,0.08499548128011479
2021-09-14 00:00:00+00:00,0.9150045187198853,0.08499548128011479
2021-09-15 00:00:00+00:00,0.8992083438767616,0.1007916561232383
2021-09-16 00:00:00+00:00,0.8992083438767616,0.1007916561232383
2021-09-17 00:00:00+00:00,0.8992083438767616,0.1007916561232383
2021-09-20 00:00:00+00:00,0.8992083438767616,0.1007916561232383
2021-09-21 00:00:00+00:00,0.8992083438767616,0.1007916561232383
2021-09-22 00:00:00+00:00,0.8992083438767616,0.1007916561232383
2021-09-23 00:00:00+00:00,0.8992083438767616,0.1007916561232383
2021-09-24 00:00:00+00:00,0.8992083438767616,0.1007916561232383
2021-09-27 00:00:00+00:00,0.8992083438767616,0.1007916561232383
2021-09-28 00:00:00+00:00,0.8992083438767616,0.1007916561232383
2021-09-29 00:00:00+00:00,0.8992083438767616,0.1007916561232383
2021-09-30 00:00:00+00:00,0.8992083438767616,0.1007916561232383
2021-10-01 00:00:00+00:00,0.8992083438767616,0.1007916561232383
2021-10-04 00:00:00+00:00,0.8992083438767616,0.1007916561232383
2021-10-05 00:00:00+00:00,0.8992083438767616,0.1007916561232383
2021-10-06 00:00:00+00:00,0.8992083438767616,0.1007916561232383
2021-10-07 00:00:00+00:00,0.8992083438767616,0.1007916561232383
2021-10-08 00:00:00+00:00,0.8992083438767616,0.1007916561232383
2021-10-11 00:00:00+00:00,0.8992083438767616,0.1007916561232383
2021-10-12 00:00:00+00:00,0.8992083438767616,0.1007916561232383
2021-10-13 00:00:00+00:00,0.8992083438767616,0.1007916561232383
2021-10-14 00:00:00+00:00,0.8872195473149637,0.1127804526850363
2021-10-15 00:00:00+00:00,0.8872195473149637,0.1127804526850363
2021-10-18 00:00:00+00:00,0.8872195473149637,0.1127804526850363
2021-10-19 00:00:00+00:00,0.8872195473149637,0.1127804526850363
2021-10-20 00:00:00+00:00,0.8872195473149637,0.1127804526850363
2021-10-21 00:00:00+00:00,0.8872195473149637,0.1127804526850363
2021-10-22 00:00:00+00:00,0.8872195473149637,0.1127804526850363
2021-10-25 00:00:00+00:00,0.8872195473149637,0.1127804526850363
2021-10-26 00:00:00+00:00,0.8872195473149637,0.1127804526850363
2021-10-27 00:00:00+00:00,0.8872195473149637,0.1127804526850363
2021-10-28 00:00:00+00:00,0.8872195473149637,0.1127804526850363
2021-10-29 00:00:00+00:00,0.8872195473149637,0.1127804526850363
2021-11-01 00:00:00+00:00,0.8872195473149637,0.1127804526850363
2021-11-02 00:00:00+00:00,0.8872195473149637,0.1127804526850363
2021-11-03 00:00:00+00:00,0.8872195473149637,0.1127804526850363
2021-11-04 00:00:00+00:00,0.8872195473149637,0.1127804526850363
2021-11-05 00:00:00+00:00,0.8872195473149637,0.1127804526850363
2021-11-08 00:00:00+00:00,0.8872195473149637,0.1127804526850363
2021-11-09 00:00:00+00:00,0.8872195473149637,0.1127804526850363
2021-11-10 00:00:00+00:00,0.8872195473149637,0.1127804526850363
2021-11-11 00:00:00+00:00,0.8872195473149637,0.1127804526850363
2021-11-12 00:00:00+00:00,0.8767316092742066,0.1232683907257935
2021-11-15 00:00:00+00:00,0.8767316092742066,0.1232683907257935
2021-11-16 00:00:00+00:00,0.8767316092742066,0.1232683907257935
2021-11-17 00:00:00+00:00,0.8767316092742066,0.1232683907257935
2021-11-18 00:00:00+00:00,0.8767316092742066,0.1232683907257935
2021-11-19 00:00:00+00:00,0.8767316092742066,0.1232683907257935
2021-11-22 00:00:00+00:00,0.8767316092742066,0.1232683907257935
2021-11-23 00:00:00+00:00,0.8767316092742066,0.1232683907257935
2021-11-24 00:00:00+00:00,0.8767316092742066,0.1232683907257935
2021-11-26 00:00:00+00:00,0.8767316092742066,0.1232683907257935
2021-11-29 00:00:00+00:00,0.8767316092742066,0.1232683907257935
2021-11-30 00:00:00+00:00,0.8767316092742066,0.1232683907257935
2021-12-01 00:00:00+00:00,0.8767316092742066,0.1232683907257935
2021-12-02 00:00:00+00:00,0.8767316092742066,0.1232683907257935
2021-12-03 00:00:00+00:00,0.8767316092742066,0.1232683907257935
2021-12-06 00:00:00+00:00,0.8767316092742066,0.1232683907257935
2021-12-07 00:00:00+00:00,0.8767316092742066,0.1232683907257935
2021-12-08 00:00:00+00:00,0.8767316092742066,0.1232683907257935
2021-12-09 00:00:00+00:00,0.8767316092742066,0.1232683907257935
2021-12-10 00:00:00+00:00,0.8767316092742066,0.1232683907257935
2021-12-13 00:00:00+00:00,0.8767316092742066,0.1232683907257935
2021-12-14 00:00:00+00:00,0.8777313949192757,0.12226860508072433
2021-12-15 00:00:00+00:00,0.8777313949192757,0.12226860508072433
2021-12-16 00:00:00+00:00,0.8777313949192757,0.12226860508072433
2021-12-17 00:00:00+00:00,0.8777313949192757,0.12226860508072433
2021-12-20 00:00:00+00:00,0.8777313949192757,0.12226860508072433
2021-12-21 00:00:00+00:00,0.8777313949192757,0.12226860508072433
2021-12-22 00:00:00+00:00,0.8777313949192757,0.12226860508072433
2021-12-23 00:00:00+00:00,0.8777313949192757,0.12226860508072433
2021-12-27 00:00:00+00:00,0.8777313949192757,0.12226860508072433
2021-12-28 00:00:00+00:00,0.8777313949192757,0.12226860508072433
2021-12-29 00:00:00+00:00,0.8777313949192757,0.12226860508072433
2021-12-30 00:00:00+00:00,0.8777313949192757,0.12226860508072433
2021-12-31 00:00:00+00:00,0.8777313949192757,0.12226860508072433
2022-01-03 00:00:00+00:00,0.8777313949192757,0.12226860508072433
2022-01-04 00:00:00+00:00,0.8777313949192757,0.12226860508072433
2022-01-05 00:00:00+00:00,0.8777313949192757,0.12226860508072433
2022-01-06 00:00:00+00:00,0.8777313949192757,0.12226860508072433
2022-01-07 00:00:00+00:00,0.8777313949192757,0.12226860508072433
2022-01-10 00:00:00+00:00,0.8777313949192757,0.12226860508072433
2022-01-11 00:00:00+00:00,0.8777313949192757,0.12226860508072433
2022-01-12 00:00:00+00:00,0.8777313949192757,0.12226860508072433
2022-01-13 00:00:00+00:00,0.8545385819305429,0.14546141806945712
2022-01-14 00:00:00+00:00,0.8545385819305429,0.14546141806945712
2022-01-18 00:00:00+00:00,0.8545385819305429,0.14546141806945712
2022-01-19 00:00:00+00:00,0.8545385819305429,0.14546141806945712
2022-01-20 00:00:00+00:00,0.8545385819305429,0.14546141806945712
2022-01-21 00:00:00+00:00,0.8545385819305429,0.14546141806945712
2022-01-24 00:00:00+00:00,0.8545385819305429,0.14546141806945712
2022-01-25 00:00:00+00:00,0.8545385819305429,0.14546141806945712
2022-01-26 00:00:00+00:00,0.8545385819305429,0.14546141806945712
2022-01-27 00:00:00+00:00,0.8545385819305429,0.14546141806945712
2022-01-28 00:00:00+00:00,0.8545385819305429,0.14546141806945712
2022-01-31 00:00:00+00:00,0.8545385819305429,0.14546141806945712
2022-02-01 00:00:00+00:00,0.8545385819305429,0.14546141806945712
2022-02-02 00:00:00+00:00,0.8545385819305429,0.14546141806945712
2022-02-03 00:00:00+00:00,0.8545385819305429,0.14546141806945712
2022-02-04 00:00:00+00:00,0.8545385819305429,0.14546141806945712
2022-02-07 00:00:00+00:00,0.8545385819305429,0.14546141806945712
2022-02-08 00:00:00+00:00,0.8545385819305429,0.14546141806945712
2022-02-09 00:00:00+00:00,0.8545385819305429,0.14546141806945712
2022-02-10 00:00:00+00:00,0.8545385819305429,0.14546141806945712
2022-02-11 00:00:00+00:00,0.8545385819305429,0.14546141806945712
2022-02-14 00:00:00+00:00,0.80294764070131,0.19705235929869
2022-02-15 00:00:00+00:00,0.80294764070131,0.19705235929869
2022-02-16 00:00:00+00:00,0.80294764070131,0.19705235929869
2022-02-17 00:00:00+00:00,0.80294764070131,0.19705235929869
2022-02-18 00:00:00+00:00,0.80294764070131,0.19705235929869
2022-02-22 00:00:00+00:00,0.80294764070131,0.19705235929869
2022-02-23 00:00:00+00:00,0.80294764070131,0.19705235929869
2022-02-24 00:00:00+00:00,0.80294764070131,0.19705235929869
2022-02-25 00:00:00+00:00,0.80294764070131,0.19705235929869
2022-02-28 00:00:00+00:00,0.80294764070131,0.19705235929869
2022-03-01 00:00:00+00:00,0.80294764070131,0.19705235929869
2022-03-02 00:00:00+00:00,0.80294764070131,0.19705235929869
2022-03-03 00:00:00+00:00,0.80294764070131,0.19705235929869
2022-03-04 00:00:00+00:00,0.80294764070131,0.19705235929869
2022-03-07 00:00:00+00:00,0.80294764070131,0.19705235929869
2022-03-08 00:00:00+00:00,0.80294764070131,0.19705235929869
2022-03-09 00:00:00+00:00,0.80294764070131,0.19705235929869
2022-03-10 00:00:00+00:00,0.80294764070131,0.19705235929869
2022-03-11 00:00:00+00:00,0.80294764070131,0.19705235929869
2022-03-14 00:00:00+00:00,0.80294764070131,0.19705235929869
2022-03-15 00:00:00+00:00,0.80294764070131,0.19705235929869
2022-03-16 00:00:00+00:00,0.7993361267943471,0.20066387320565293
2022-03-17 00:00:00+00:00,0.7993361267943471,0.20066387320565293
2022-03-18 00:00:00+00:00,0.7993361267943471,0.20066387320565293
2022-03-21 00:00:00+00:00,0.7993361267943471,0.20066387320565293
2022-03-22 00:00:00+00:00,0.7993361267943471,0.20066387320565293
2022-03-23 00:00:00+00:00,0.7993361267943471,0.20066387320565293
2022-03-24 00:00:00+00:00,0.7993361267943471,0.20066387320565293
2022-03-25 00:00:00+00:00,0.7993361267943471,0.20066387320565293
2022-03-28 00:00:00+00:00,0.7993361267943471,0.20066387320565293
2022-03-29 00:00:00+00:00,0.7993361267943471,0.20066387320565293
2022-03-30 00:00:00+00:00,0.7993361267943471,0.20066387320565293
2022-03-31 00:00:00+00:00,0.7993361267943471,0.20066387320565293
2022-04-01 00:00:00+00:00,0.7993361267943471,0.20066387320565293
2022-04-04 00:00:00+00:00,0.7993361267943471,0.20066387320565293
2022-04-05 00:00:00+00:00,0.7993361267943471,0.20066387320565293
2022-04-06 00:00:00+00:00,0.7993361267943471,0.20066387320565293
2022-04-07 00:00:00+00:00,0.7993361267943471,0.20066387320565293
2022-04-08 00:00:00+00:00,0.7993361267943471,0.20066387320565293
2022-04-11 00:00:00+00:00,0.7993361267943471,0.20066387320565293
2022-04-12 00:00:00+00:00,0.7993361267943471,0.20066387320565293
2022-04-13 00:00:00+00:00,0.7993361267943471,0.20066387320565293
2022-04-14 00:00:00+00:00,0.7895956252698182,0.2104043747301819
2022-04-18 00:00:00+00:00,0.7895956252698182,0.2104043747301819
2022-04-19 00:00:00+00:00,0.7895956252698182,0.2104043747301819
2022-04-20 00:00:00+00:00,0.7895956252698182,0.2104043747301819
2022-04-21 00:00:00+00:00,0.7895956252698182,0.2104043747301819
2022-04-22 00:00:00+00:00,0.7895956252698182,0.2104043747301819
2022-04-25 00:00:00+00:00,0.7895956252698182,0.2104043747301819
2022-04-26 00:00:00+00:00,0.7895956252698182,0.2104043747301819
2022-04-27 00:00:00+00:00,0.7895956252698182,0.2104043747301819
2022-04-28 00:00:00+00:00,0.7895956252698182,0.2104043747301819
2022-04-29 00:00:00+00:00,0.7895956252698182,0.2104043747301819
2022-05-02 00:00:00+00:00,0.7895956252698182,0.2104043747301819
2022-05-03 00:00:00+00:00,0.7895956252698182,0.2104043747301819
2022-05-04 00:00:00+00:00,0.7895956252698182,0.2104043747301819
2022-05-05 00:00:00+00:00,0.7895956252698182,0.2104043747301819
2022-05-06 00:00:00+00:00,0.7895956252698182,0.2104043747301819
2022-05-09 00:00:00+00:00,0.7895956252698182,0.2104043747301819
2022-05-10 00:00:00+00:00,0.7895956252698182,0.2104043747301819
2022-05-11 00:00:00+00:00,0.7895956252698182,0.2104043747301819
2022-05-12 00:00:00+00:00,0.7895956252698182,0.2104043747301819
2022-05-13 00:00:00+00:00,0.7895956252698182,0.2104043747301819
2022-05-16 00:00:00+00:00,0.8006274048905113,0.1993725951094886
2022-05-17 00:00:00+00:00,0.8006274048905113,0.1993725951094886
2022-05-18 00:00:00+00:00,0.8006274048905113,0.1993725951094886
2022-05-19 00:00:00+00:00,0.8006274048905113,0.1993725951094886
2022-05-20 00:00:00+00:00,0.8006274048905113,0.1993725951094886
2022-05-23 00:00:00+00:00,0.8006274048905113,0.1993725951094886
2022-05-24 00:00:00+00:00,0.8006274048905113,0.1993725951094886
2022-05-25 00:00:00+00:00,0.8006274048905113,0.1993725951094886
2022-05-26 00:00:00+00:00,0.8006274048905113,0.1993725951094886
2022-05-27 00:00:00+00:00,0.8006274048905113,0.1993725951094886
2022-05-31 00:00:00+00:00,0.8006274048905113,0.1993725951094886
2022-06-01 00:00:00+00:00,0.8006274048905113,0.1993725951094886
2022-06-02 00:00:00+00:00,0.8006274048905113,0.1993725951094886
2022-06-03 00:00:00+00:00,0.8006274048905113,0.1993725951094886
2022-06-06 00:00:00+00:00,0.8006274048905113,0.1993725951094886
2022-06-07 00:00:00+00:00,0.8006274048905113,0.1993725951094886
2022-06-08 00:00:00+00:00,0.8006274048905113,0.1993725951094886
2022-06-09 00:00:00+00:00,0.8006274048905113,0.1993725951094886
2022-06-10 00:00:00+00:00,0.8006274048905113,0.1993725951094886
2022-06-13 00:00:00+00:00,0.8006274048905113,0.1993725951094886
2022-06-14 00:00:00+00:00,0.8006274048905113,0.1993725951094886
2022-06-15 00:00:00+00:00,0.7818439322044907,0.2181560677955093
2022-06-16 00:00:00+00:00,0.7818439322044907,0.2181560677955093
2022-06-17 00:00:00+00:00,0.7818439322044907,0.2181560677955093
2022-06-21 00:00:00+00:00,0.7818439322044907,0.2181560677955093
2022-06-22 00:00:00+00:00,0.7818439322044907,0.2181560677955093
2022-06-23 00:00:00+00:00,0.7818439322044907,0.2181560677955093
2022-06-24 00:00:00+00:00,0.7818439322044907,0.2181560677955093
2022-06-27 00:00:00+00:00,0.7818439322044907,0.2181560677955093
2022-06-28 00:00:00+00:00,0.7818439322044907,0.2181560677955093
2022-06-29 00:00:00+00:00,0.7818439322044907,0.2181560677955093
2022-06-30 00:00:00+00:00,0.7818439322044907,0.2181560677955093
2022-07-01 00:00:00+00:00,0.7818439322044907,0.2181560677955093
2022-07-05 00:00:00+00:00,0.7818439322044907,0.2181560677955093
2022-07-06 00:00:00+00:00,0.7818439322044907,0.2181560677955093
2022-07-07 00:00:00+00:00,0.7818439322044907,0.2181560677955093
2022-07-08 00:00:00+00:00,0.7818439322044907,0.2181560677955093
2022-07-11 00:00:00+00:00,0.7818439322044907,0.2181560677955093
2022-07-12 00:00:00+00:00,0.7818439322044907,0.2181560677955093
2022-07-13 00:00:00+00:00,0.7818439322044907,0.2181560677955093
2022-07-14 00:00:00+00:00,0.7818439322044907,0.2181560677955093
2022-07-15 00:00:00+00:00,0.7818439322044907,0.2181560677955093
2022-07-18 00:00:00+00:00,0.7735241092173184,0.2264758907826816
2022-07-19 00:00:00+00:00,0.7735241092173184,0.2264758907826816
2022-07-20 00:00:00+00:00,0.7735241092173184,0.2264758907826816
2022-07-21 00:00:00+00:00,0.7735241092173184,0.2264758907826816
2022-07-22 00:00:00+00:00,0.7735241092173184,0.2264758907826816
2022-07-25 00:00:00+00:00,0.7735241092173184,0.2264758907826816
2022-07-26 00:00:00+00:00,0.7735241092173184,0.2264758907826816
2022-07-27 00:00:00+00:00,0.7735241092173184,0.2264758907826816
2022-07-28 00:00:00+00:00,0.7735241092173184,0.2264758907826816
2022-07-29 00:00:00+00:00,0.7735241092173184,0.2264758907826816
2022-08-01 00:00:00+00:00,0.7735241092173184,0.2264758907826816
2022-08-02 00:00:00+00:00,0.7735241092173184,0.2264758907826816
2022-08-03 00:00:00+00:00,0.7735241092173184,0.2264758907826816
2022-08-04 00:00:00+00:00,0.7735241092173184,0.2264758907826816
2022-08-05 00:00:00+00:00,0.7735241092173184,0.2264758907826816
2022-08-08 00:00:00+00:00,0.7735241092173184,0.2264758907826816
2022-08-09 00:00:00+00:00,0.7735241092173184,0.2264758907826816
2022-08-10 00:00:00+00:00,0.7735241092173184,0.2264758907826816
2022-08-11 00:00:00+00:00,0.7735241092173184,0.2264758907826816
2022-08-12 00:00:00+00:00,0.7735241092173184,0.2264758907826816
2022-08-15 00:00:00+00:00,0.7735241092173184,0.2264758907826816
2022-08-16 00:00:00+00:00,0.755132506341976,0.24486749365802402
2022-08-17 00:00:00+00:00,0.755132506341976,0.24486749365802402
2022-08-18 00:00:00+00:00,0.755132506341976,0.24486749365802402
2022-08-19 00:00:00+00:00,0.755132506341976,0.24486749365802402
2022-08-22 00:00:00+00:00,0.755132506341976,0.24486749365802402
2022-08-23 00:00:00+00:00,0.755132506341976,0.24486749365802402
2022-08-24 00:00:00+00:00,0.755132506341976,0.24486749365802402
2022-08-25 00:00:00+00:00,0.755132506341976,0.24486749365802402
2022-08-26 00:00:00+00:00,0.755132506341976,0.24486749365802402
2022-08-29 00:00:00+00:00,0.755132506341976,0.24486749365802402
2022-08-30 00:00:00+00:00,0.755132506341976,0.24486749365802402
2022-08-31 00:00:00+00:00,0.755132506341976,0.24486749365802402
2022-09-01 00:00:00+00:00,0.755132506341976,0.24486749365802402
2022-09-02 00:00:00+00:00,0.755132506341976,0.24486749365802402
2022-09-06 00:00:00+00:00,0.755132506341976,0.24486749365802402
2022-09-07 00:00:00+00:00,0.755132506341976,0.24486749365802402
2022-09-08 00:00:00+00:00,0.755132506341976,0.24486749365802402
2022-09-09 00:00:00+00:00,0.755132506341976,0.24486749365802402
2022-09-12 00:00:00+00:00,0.755132506341976,0.24486749365802402
2022-09-13 00:00:00+00:00,0.755132506341976,0.24486749365802402
2022-09-14 00:00:00+00:00,0.755132506341976,0.24486749365802402
2022-09-15 00:00:00+00:00,0.7471216704635916,0.25287832953640843
2022-09-16 00:00:00+00:00,0.7471216704635916,0.25287832953640843
2022-09-19 00:00:00+00:00,0.7471216704635916,0.25287832953640843
2022-09-20 00:00:00+00:00,0.7471216704635916,0.25287832953640843
2022-09-21 00:00:00+00:00,0.7471216704635916,0.25287832953640843
2022-09-22 00:00:00+00:00,0.7471216704635916,0.25287832953640843
2022-09-23 00:00:00+00:00,0.7471216704635916,0.25287832953640843
2022-09-26 00:00:00+00:00,0.7471216704635916,0.25287832953640843
2022-09-27 00:00:00+00:00,0.7471216704635916,0.25287832953640843
2022-09-28 00:00:00+00:00,0.7471216704635916,0.25287832953640843
2022-09-29 00:00:00+00:00,0.7471216704635916,0.25287832953640843
2022-09-30 00:00:00+00:00,0.7471216704635916,0.25287832953640843
2022-10-03 00:00:00+00:00,0.7471216704635916,0.25287832953640843
2022-10-04 00:00:00+00:00,0.7471216704635916,0.25287832953640843
2022-10-05 00:00:00+00:00,0.7471216704635916,0.25287832953640843
2022-10-06 00:00:00+00:00,0.7471216704635916,0.25287832953640843
2022-10-07 00:00:00+00:00,0.7471216704635916,0.25287832953640843
2022-10-10 00:00:00+00:00,0.7471216704635916,0.25287832953640843
2022-10-11 00:00:00+00:00,0.7471216704635916,0.25287832953640843
2022-10-12 00:00:00+00:00,0.7471216704635916,0.25287832953640843
2022-10-13 00:00:00+00:00,0.7471216704635916,0.25287832953640843
2022-10-14 00:00:00+00:00,0.7283041259119677,0.27169587408803236
2022-10-17 00:00:00+00:00,0.7283041259119677,0.27169587408803236
2022-10-18 00:00:00+00:00,0.7283041259119677,0.27169587408803236
2022-10-19 00:00:00+00:00,0.7283041259119677,0.27169587408803236
2022-10-20 00:00:00+00:00,0.7283041259119677,0.27169587408803236
2022-10-21 00:00:00+00:00,0.7283041259119677,0.27169587408803236
2022-10-24 00:00:00+00:00,0.7283041259119677,0.27169587408803236
2022-10-25 00:00:00+00:00,0.7283041259119677,0.27169587408803236
2022-10-26 00:00:00+00:00,0.7283041259119677,0.27169587408803236
2022-10-27 00:00:00+00:00,0.7283041259119677,0.27169587408803236
2022-10-28 00:00:00+00:00,0.7283041259119677,0.27169587408803236
2022-10-31 00:00:00+00:00,0.7283041259119677,0.27169587408803236
2022-11-01 00:00:00+00:00,0.7283041259119677,0.27169587408803236
2022-11-02 00:00:00+00:00,0.7283041259119677,0.27169587408803236
2022-11-03 00:00:00+00:00,0.7283041259119677,0.27169587408803236
2022-11-04 00:00:00+00:00,0.7283041259119677,0.27169587408803236
2022-11-07 00:00:00+00:00,0.7283041259119677,0.27169587408803236
2022-11-08 00:00:00+00:00,0.7283041259119677,0.27169587408803236
2022-11-09 00:00:00+00:00,0.7283041259119677,0.27169587408803236
2022-11-10 00:00:00+00:00,0.7283041259119677,0.27169587408803236
2022-11-11 00:00:00+00:00,0.7283041259119677,0.27169587408803236
2022-11-14 00:00:00+00:00,0.7255829184398436,0.2744170815601564
2022-11-15 00:00:00+00:00,0.7255829184398436,0.2744170815601564
2022-11-16 00:00:00+00:00,0.7255829184398436,0.2744170815601564
2022-11-17 00:00:00+00:00,0.7255829184398436,0.2744170815601564
2022-11-18 00:00:00+00:00,0.7255829184398436,0.2744170815601564
2022-11-21 00:00:00+00:00,0.7255829184398436,0.2744170815601564
2022-11-22 00:00:00+00:00,0.7255829184398436,0.2744170815601564
2022-11-23 00:00:00+00:00,0.7255829184398436,0.2744170815601564
2022-11-25 00:00:00+00:00,0.7255829184398436,0.2744170815601564
2022-11-28 00:00:00+00:00,0.7255829184398436,0.2744170815601564
2022-11-29 00:00:00+00:00,0.7255829184398436,0.2744170815601564
2022-11-30 00:00:00+00:00,0.7255829184398436,0.2744170815601564
2022-12-01 00:00:00+00:00,0.7255829184398436,0.2744170815601564
2022-12-02 00:00:00+00:00,0.7255829184398436,0.2744170815601564
2022-12-05 00:00:00+00:00,0.7255829184398436,0.2744170815601564
2022-12-06 00:00:00+00:00,0.7255829184398436,0.2744170815601564
2022-12-07 00:00:00+00:00,0.7255829184398436,0.2744170815601564
2022-12-08 00:00:00+00:00,0.7255829184398436,0.2744170815601564
2022-12-09 00:00:00+00:00,0.7255829184398436,0.2744170815601564
2022-12-12 00:00:00+00:00,0.7255829184398436,0.2744170815601564
2022-12-13 00:00:00+00:00,0.7255829184398436,0.2744170815601564
2022-12-14 00:00:00+00:00,0.6956358090042194,0.3043641909957806
2022-12-15 00:00:00+00:00,0.6956358090042194,0.3043641909957806
2022-12-16 00:00:00+00:00,0.6956358090042194,0.3043641909957806
2022-12-19 00:00:00+00:00,0.6956358090042194,0.3043641909957806
2022-12-20 00:00:00+00:00,0.6956358090042194,0.3043641909957806
2022-12-21 00:00:00+00:00,0.6956358090042194,0.3043641909957806
2022-12-22 00:00:00+00:00,0.6956358090042194,0.3043641909957806
2022-12-23 00:00:00+00:00,0.6956358090042194,0.3043641909957806
2022-12-27 00:00:00+00:00,0.6956358090042194,0.3043641909957806
2022-12-28 00:00:00+00:00,0.6956358090042194,0.3043641909957806
2022-12-29 00:00:00+00:00,0.6956358090042194,0.3043641909957806
2022-12-30 00:00:00+00:00,0.6956358090042194,0.3043641909957806
2023-01-03 00:00:00+00:00,0.6956358090042194,0.3043641909957806
2023-01-04 00:00:00+00:00,0.6956358090042194,0.3043641909957806
2023-01-05 00:00:00+00:00,0.6956358090042194,0.3043641909957806
2023-01-06 00:00:00+00:00,0.6956358090042194,0.3043641909957806
2023-01-09 00:00:00+00:00,0.6956358090042194,0.3043641909957806
2023-01-10 00:00:00+00:00,0.6956358090042194,0.3043641909957806
2023-01-11 00:00:00+00:00,0.6956358090042194,0.3043641909957806
2023-01-12 00:00:00+00:00,0.6956358090042194,0.3043641909957806
2023-01-13 00:00:00+00:00,0.6956358090042194,0.3043641909957806
2023-01-17 00:00:00+00:00,0.7171646320260393,0.2828353679739607
2023-01-18 00:00:00+00:00,0.7171646320260393,0.2828353679739607
2023-01-19 00:00:00+00:00,0.7171646320260393,0.2828353679739607
2023-01-20 00:00:00+00:00,0.7171646320260393,0.2828353679739607
2023-01-23 00:00:00+00:00,0.7171646320260393,0.2828353679739607
2023-01-24 00:00:00+00:00,0.7171646320260393,0.2828353679739607
2023-01-25 00:00:00+00:00,0.7171646320260393,0.2828353679739607
2023-01-26 00:00:00+00:00,0.7171646320260393,0.2828353679739607
2023-01-27 00:00:00+00:00,0.7171646320260393,0.2828353679739607
2023-01-30 00:00:00+00:00,0.7171646320260393,0.2828353679739607
2023-01-31 00:00:00+00:00,0.7171646320260393,0.2828353679739607
2023-02-01 00:00:00+00:00,0.7171646320260393,0.2828353679739607
2023-02-02 00:00:00+00:00,0.7171646320260393,0.2828353679739607
2023-02-03 00:00:00+00:00,0.7171646320260393,0.2828353679739607
2023-02-06 00:00:00+00:00,0.7171646320260393,0.2828353679739607
2023-02-07 00:00:00+00:00,0.7171646320260393,0.2828353679739607
2023-02-08 00:00:00+00:00,0.7171646320260393,0.2828353679739607
2023-02-09 00:00:00+00:00,0.7171646320260393,0.2828353679739607
2023-02-10 00:00:00+00:00,0.7171646320260393,0.2828353679739607
2023-02-13 00:00:00+00:00,0.7171646320260393,0.2828353679739607
2023-02-14 00:00:00+00:00,0.7171646320260393,0.2828353679739607
2023-02-15 00:00:00+00:00,0.7046904883059285,0.2953095116940714
